,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hithadhoo,MV,80.92,few clouds,-0.6,73.0833,Pebbles Inn
2,Hobart,AU,70.27,few clouds,-42.8794,147.3294,Vibe Hotel Hobart
3,Rikitea,PF,79.23,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
15,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
17,Mogadishu,SO,74.53,scattered clouds,2.0371,45.3438,SYL Hotel
24,Sorong,ID,79.36,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
30,Puerto Ayora,EC,75.54,light rain,-0.7393,-90.3518,Hostal La Mirada De Solitario George
34,La Orilla,MX,76.96,scattered clouds,17.9833,-102.2333,Victoria
39,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Hôtel 6500 CFA
41,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti International Resort
42,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Tropic Hotel
47,Vila Velha,BR,78.94,scattered clouds,-20.3297,-40.2925,Hotel Prainha
52,Ghanzi,BW,73.67,clear sky,-21.5667,21.7833,Ghanzi farmhouse
56,Florianopolis,BR,78.03,overcast clouds,-27.6146,-48.5012,Pousada Caminho da Lagoa
58,Chuy,UY,70.38,clear sky,-33.6971,-53.4616,Alerces
61,Waingapu,ID,85.1,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
66,Rawson,AR,75.88,clear sky,-43.3002,-65.1023,Hotel Deportivo
67,New Norfolk,AU,70.92,clear sky,-42.7826,147.0587,Woodbridge on the Derwent
72,Cidreira,BR,75.58,broken clouds,-30.1811,-50.2056,Hotel Castelo
75,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Hotel SkylineInn
78,Kumba,CM,71.89,scattered clouds,4.6363,9.4469,Sharma Rock Hotel
90,Mar Del Plata,AR,71.1,light rain,-38.0023,-57.5575,Nuevo Ostende
91,Catia La Mar,VE,79.0,clear sky,10.6038,-67.0303,Posada La Parada
93,Sao Raimundo Nonato,BR,73.33,clear sky,-9.0153,-42.6994,Pousada Zabelê
94,Bac Lieu,VN,73.99,overcast clouds,9.285,105.7244,Khách sạn Bạc Liêu
109,Kone,NC,75.87,light rain,-21.0595,164.8658,Pacifik Appartels
110,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Page 63 hostel
116,Monte Patria,CL,75.24,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
120,Port Moresby,PG,89.02,haze,-9.4431,147.1797,The Sanctuary Hotel and Spa
121,Atuona,PF,79.0,scattered clouds,-9.8,-139.0333,Pearl Resort
125,Hilo,US,78.53,light rain,19.7297,-155.09,Dolphin Bay Hotel
128,Mitsamiouli,KM,80.47,few clouds,-11.3847,43.2844,Hotel le Paradis
130,Puerto Escondido,MX,79.63,clear sky,15.85,-97.0667,Hotel Barlovento
132,Cabo San Lucas,MX,71.91,few clouds,22.8909,-109.9124,Comfort Rooms
134,Kapaa,US,77.32,few clouds,22.0752,-159.319,Pono Kai Resort
142,Yulara,AU,84.92,broken clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
151,La Asuncion,VE,73.31,few clouds,11.0333,-63.8628,Hotel La Ciudad
162,Namatanai,PG,85.48,broken clouds,-3.6667,152.4333,Namatanai Hotel
164,Bosaso,SO,72.84,scattered clouds,11.2842,49.1816,Bosaso hotel
185,Bengkulu,ID,80.62,overcast clouds,-3.8004,102.2655,Dena Hotel
192,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Grand Bel Air
195,Metro,ID,77.2,overcast clouds,-5.1131,105.3067,Hotel Nuban
199,Male,MV,78.75,broken clouds,4.1748,73.5089,Champa Central Hotel
207,Bata,GQ,76.86,scattered clouds,1.8639,9.7658,Hotel Plaza ****
210,Makakilo City,US,77.32,moderate rain,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
212,Faanui,PF,81.43,clear sky,-16.4833,-151.75,Oa Oa Lodge
213,Puerto Ayacucho,VE,76.98,clear sky,5.6639,-67.6236,Hotel VENETUR Amazonas
215,Cayenne,GF,73.44,overcast clouds,4.9333,-52.3333,Central Hôtel
220,Saint-Philippe,RE,76.59,overcast clouds,-21.3585,55.7679,Le Baril
221,Trincomalee,LK,77.54,overcast clouds,8.5711,81.2335,Silver Star Inn
230,Sao Joao Da Barra,BR,77.04,scattered clouds,-21.6403,-41.0511,Pousada Mediterrâneo
233,Gorontalo,ID,82.11,broken clouds,0.5412,123.0595,Grand City Hotel
236,Oranjestad,AW,76.95,few clouds,12.524,-70.027,Hotel California
237,Rio Grande,BR,73.04,broken clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
241,Pisco,PE,73.45,clear sky,-13.7,-76.2167,La Portada
247,Sao Filipe,CV,73.02,few clouds,14.8961,-24.4956,Bela Vista
251,Bathsheba,BB,72.21,few clouds,13.2167,-59.5167,Atlantis Hotel
253,Ahipara,NZ,74.8,overcast clouds,-35.1667,173.1667,YHA Ahipara
254,Geraldton,AU,88.21,clear sky,-28.7667,114.6,Ocean Centre Hotel
257,Manokwari,ID,78.76,overcast clouds,-0.8667,134.0833,Hotel Arfak
260,Kavieng,PG,85.21,scattered clouds,-2.5744,150.7967,Kavieng Hotel
279,Ampanihy,MG,75.22,light rain,-24.7,44.75,Hotel restaurant Angora
280,Port Augusta,AU,74.75,light rain,-32.5,137.7667,Hotel Commonwealth
282,Isangel,VU,84.69,overcast clouds,-19.55,169.2667,Tanna Lodge
283,Vao,NC,75.56,overcast clouds,-22.6667,167.4833,Nataiwatch
286,Rustenburg,ZA,76.26,overcast clouds,-25.6676,27.2421,Travellers Inn
287,Lorengau,PG,84.94,broken clouds,-2.0226,147.2712,Seeadler Bay Hotel
289,Sambava,MG,75.2,light rain,-14.2667,50.1667,Royal Sava Hôtel
290,Ngunguru,NZ,72.54,overcast clouds,-35.6167,174.5,Oceans Tutukaka
291,Inverell,AU,88.66,scattered clouds,-29.7833,151.1167,Oxford Hotel
292,Inhambane,MZ,73.62,few clouds,-23.865,35.3833,Hotel de Inhambane
293,Boa Vista,BR,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
295,Banjar,ID,83.17,overcast clouds,-8.19,114.9675,Villa Banjar Beach
297,Namibe,AO,74.73,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
299,Tahoua,NE,70.41,overcast clouds,14.8888,5.2692,Hotel Bungalow
313,Cotonou,BJ,80.58,scattered clouds,6.3654,2.4183,BENIN ROYAL HOTEL
317,Kahului,US,70.84,light rain,20.8947,-156.47,Maui Seaside Hotel
322,Santa Cruz,BO,78.26,heavy intensity rain,-17.8,-63.1667,Aviador Hotel Boutique
328,Praia,CV,71.22,scattered clouds,14.9215,-23.5087,Casa Sodadi
338,Mildura,AU,71.08,light rain,-34.2,142.15,Chaffey Motor Inn
