,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hithadhoo,MV,-0.6,73.0833,80.92,77,12,11.03,few clouds
1,Hermanus,ZA,-34.4187,19.2345,58.8,65,93,18.79,overcast clouds
2,Hobart,AU,-42.8794,147.3294,70.27,48,20,9.22,few clouds
3,Rikitea,PF,-23.1203,-134.9692,79.23,70,47,11.56,light rain
4,Busselton,AU,-33.65,115.3333,71.29,45,26,10.51,scattered clouds
5,Thompson,CA,55.7435,-97.8558,-18.24,69,75,5.75,light snow
6,Victoria,HK,22.2855,114.1577,54.25,33,7,10.0,clear sky
7,Rock Springs,US,41.5875,-109.2029,13.23,76,100,12.66,light snow
8,Zabol,AF,32.25,67.25,30.56,96,100,4.54,light snow
9,Korla,CN,41.7597,86.1469,14.79,71,100,3.87,overcast clouds
10,Barrow,US,71.2906,-156.7887,-5.78,84,75,5.75,broken clouds
11,Manggar,ID,-2.8833,108.2667,80.82,82,100,10.25,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,53.26,58,20,14.97,few clouds
13,Eresos,GR,39.1667,25.9333,43.9,77,57,9.51,broken clouds
14,Ilulissat,GL,69.2167,-51.1,14.02,73,100,18.41,light shower snow
15,Avarua,CK,-21.2078,-159.775,84.25,74,20,10.36,few clouds
16,Ponta Do Sol,PT,32.6667,-17.1,58.01,76,14,6.46,light rain
17,Mogadishu,SO,2.0371,45.3438,74.53,81,34,19.26,scattered clouds
18,Bethel,US,41.3712,-73.414,46.27,56,0,3.44,clear sky
19,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,77,75,13.8,broken clouds
20,Upernavik,GL,72.7868,-56.1549,2.17,90,100,17.63,overcast clouds
21,Yellowknife,CA,62.456,-114.3525,-12.44,77,0,15.01,clear sky
22,Nitra,SK,48.3076,18.0845,33.64,79,18,7.78,few clouds
23,Salisbury,GB,51.0693,-1.7957,40.8,88,100,3.44,mist
24,Sorong,ID,-0.8833,131.25,79.36,81,100,3.44,overcast clouds
25,Dunedin,NZ,-45.8742,170.5036,68.72,63,0,9.13,clear sky
26,Belaya Gora,RU,68.5333,146.4167,-29.27,96,100,0.81,overcast clouds
27,Provideniya,RU,64.3833,-173.3,27.75,97,100,3.71,overcast clouds
28,Constitucion,CL,-35.3333,-72.4167,60.46,71,0,10.83,clear sky
29,Ancud,CL,-41.8697,-73.8203,59.16,93,6,4.63,clear sky
30,Puerto Ayora,EC,-0.7393,-90.3518,75.54,99,50,1.99,light rain
31,Port Alfred,ZA,-33.5906,26.891,65.17,85,91,17.43,light rain
32,Russell,US,32.3502,-85.1999,52.83,61,100,3.44,overcast clouds
33,Kodiak,US,57.79,-152.4072,36.91,93,100,0.0,fog
34,La Orilla,MX,17.9833,-102.2333,76.96,59,38,8.16,scattered clouds
35,Carnarvon,AU,-24.8667,113.6333,77.63,72,4,14.54,clear sky
36,Nishihara,JP,26.1842,127.7558,56.86,54,40,11.5,scattered clouds
37,Sault Sainte Marie,CA,46.5168,-84.3333,16.09,75,100,3.44,overcast clouds
38,Bredasdorp,ZA,-34.5322,20.0403,62.69,61,100,13.58,overcast clouds
39,Porto Novo,BJ,6.4965,2.6036,80.42,86,98,7.14,overcast clouds
40,Inndyr,NO,67.0338,14.0276,37.44,96,100,20.58,light rain
41,Vaini,TO,-21.2,-175.2,80.76,94,75,5.75,broken clouds
42,Saint-Pierre,RE,-21.3393,55.4781,76.68,78,0,3.44,clear sky
43,Bambous Virieux,MU,-20.3428,57.7575,76.21,94,75,3.44,broken clouds
44,Hambantota,LK,6.1241,81.1185,66.54,100,20,2.3,few clouds
45,Mataura,NZ,-46.1927,168.8643,81.46,28,2,3.76,clear sky
46,Albany,US,42.6001,-73.9662,32.88,75,100,3.18,overcast clouds
47,Vila Velha,BR,-20.3297,-40.2925,78.94,92,40,8.99,scattered clouds
48,Castro,BR,-24.7911,-50.0119,65.01,58,30,3.36,scattered clouds
49,Shakawe,BW,-18.3667,21.85,67.91,88,81,4.56,broken clouds
50,Ola,RU,59.5833,151.2833,2.62,83,29,7.92,scattered clouds
51,Bowling Green,US,36.9903,-86.4436,55.33,38,100,9.22,overcast clouds
52,Ghanzi,BW,-21.5667,21.7833,73.67,54,10,12.97,clear sky
53,Cumberland,US,35.0502,-78.8664,50.49,60,0,6.91,clear sky
54,Margate,GB,51.3813,1.3862,39.69,74,100,1.01,overcast clouds
55,Jamestown,US,42.097,-79.2353,31.64,80,40,0.0,scattered clouds
56,Florianopolis,BR,-27.6146,-48.5012,78.03,80,100,10.36,overcast clouds
57,Aripuana,BR,-9.1667,-60.6333,72.34,100,100,1.05,moderate rain
58,Chuy,UY,-33.6971,-53.4616,70.38,88,0,1.54,clear sky
59,Krasnyy Chikoy,RU,50.3643,108.7512,4.77,93,71,2.37,broken clouds
60,Tuatapere,NZ,-46.1333,167.6833,73.08,42,3,8.3,clear sky
61,Waingapu,ID,-9.6567,120.2641,85.1,68,100,6.98,overcast clouds
62,Saint George,US,37.1041,-113.5841,50.25,40,0,5.75,clear sky
63,Bluff,NZ,-46.6,168.3333,64.67,53,0,6.2,clear sky
64,Lompoc,US,34.6391,-120.4579,57.85,77,0,3.44,clear sky
65,Torbay,CA,47.6666,-52.7314,29.26,78,100,5.75,overcast clouds
66,Rawson,AR,-43.3002,-65.1023,75.88,31,4,13.44,clear sky
67,New Norfolk,AU,-42.7826,147.0587,70.92,36,0,5.01,clear sky
68,Nanortalik,GL,60.1432,-45.2371,20.08,69,45,24.29,scattered clouds
69,Beringovskiy,RU,63.05,179.3167,24.82,99,77,5.75,broken clouds
70,Abonnema,NG,4.7084,6.7931,78.01,85,27,3.11,scattered clouds
71,Cape Town,ZA,-33.9258,18.4232,64.11,57,0,19.57,clear sky
72,Cidreira,BR,-30.1811,-50.2056,75.58,90,69,0.56,broken clouds
73,Chokurdakh,RU,70.6333,147.9167,-23.3,96,100,1.21,overcast clouds
74,Port Hardy,CA,50.6996,-127.4199,37.58,93,20,2.3,few clouds
75,Souillac,MU,-20.5167,57.5167,75.58,94,75,3.44,broken clouds
76,Port Elizabeth,ZA,-33.918,25.5701,63.32,78,70,3.0,light rain
77,Yuancheng,CN,36.652,107.7896,25.75,18,0,1.3,clear sky
78,Kumba,CM,4.6363,9.4469,71.89,90,31,2.59,scattered clouds
79,Comodoro Rivadavia,AR,-45.8667,-67.5,80.46,32,0,12.66,clear sky
80,Nikolskoye,RU,59.7035,30.7861,28.29,90,99,10.36,overcast clouds
81,Lubango,AO,-14.9172,13.4925,57.87,86,100,3.47,overcast clouds
82,Longyearbyen,SJ,78.2186,15.6401,24.64,74,75,6.91,light snow
83,Lagoa,PT,39.05,-27.9833,57.85,71,65,18.07,broken clouds
84,Umuahia,NG,5.5263,7.4896,74.95,89,50,3.47,scattered clouds
85,Butaritari,KI,3.0707,172.7902,81.18,80,2,22.15,clear sky
86,Punta Arenas,CL,-53.15,-70.9167,53.71,66,40,8.05,scattered clouds
87,Charters Towers,AU,-20.1,146.2667,87.06,57,93,13.51,overcast clouds
88,Qaqortoq,GL,60.7167,-46.0333,10.96,69,6,14.16,clear sky
89,Poum,NC,-20.2333,164.0167,78.57,81,100,6.62,overcast clouds
90,Mar Del Plata,AR,-38.0023,-57.5575,71.1,89,0,15.99,light rain
91,Catia La Mar,VE,10.6038,-67.0303,79.0,83,0,2.3,clear sky
92,Beni Suef,EG,29.0731,31.0979,57.74,53,46,5.88,scattered clouds
93,Sao Raimundo Nonato,BR,-9.0153,-42.6994,73.33,64,0,2.13,clear sky
94,Bac Lieu,VN,9.285,105.7244,73.99,65,100,6.06,overcast clouds
95,Adeje,ES,28.1227,-16.726,64.56,67,20,8.05,few clouds
96,Grand-Santi,GF,4.25,-54.3833,72.0,95,100,2.59,overcast clouds
97,Krym,RU,47.3003,39.5164,34.45,66,100,11.52,overcast clouds
98,Repnoye,RU,51.5921,43.1861,13.14,94,91,6.35,overcast clouds
99,Northam,GB,51.0333,-4.2167,42.62,93,100,6.22,overcast clouds
100,Hay River,CA,60.8156,-115.7999,-9.42,70,20,12.66,few clouds
101,Paamiut,GL,61.994,-49.6678,10.02,86,100,11.25,overcast clouds
102,Twentynine Palms,US,34.1356,-116.0542,57.34,27,0,1.01,clear sky
103,Svetlogorsk,BY,52.6333,29.7333,23.34,96,65,3.58,broken clouds
104,Pizarro,CO,4.9533,-77.366,77.18,90,20,3.78,few clouds
105,Raymond,US,43.9015,-70.4703,38.32,72,37,3.69,scattered clouds
106,Millington,US,35.3415,-89.8973,51.39,77,100,10.36,mist
107,Healdsburg,US,38.6105,-122.8692,55.45,78,0,6.91,clear sky
108,Kaitangata,NZ,-46.2817,169.8464,68.63,53,3,6.02,clear sky
109,Kone,NC,-21.0595,164.8658,75.87,91,100,4.41,light rain
110,Georgetown,MY,5.4112,100.3354,80.53,83,20,3.44,few clouds
111,Kirkuk,IQ,35.4681,44.3922,50.45,52,100,11.05,overcast clouds
112,Deputatskiy,RU,69.3,139.9,-38.79,98,37,4.32,scattered clouds
113,Sept-Iles,CA,50.2001,-66.3821,24.8,70,40,18.41,light snow
114,Haines Junction,CA,60.7522,-137.5108,5.65,99,73,1.52,broken clouds
115,Biak,ID,-0.9131,122.8766,79.95,81,100,2.84,overcast clouds
116,Monte Patria,CL,-30.6919,-70.9467,75.24,47,0,2.71,clear sky
117,Nyurba,RU,63.2842,118.3319,-54.44,100,69,2.33,broken clouds
118,Plettenberg Bay,ZA,-34.0527,23.3716,63.0,66,91,7.54,overcast clouds
119,Tabory,RU,58.5198,64.5495,4.08,94,27,6.8,scattered clouds
120,Port Moresby,PG,-9.4431,147.1797,89.02,62,40,11.5,haze
121,Atuona,PF,-9.8,-139.0333,79.0,76,28,19.26,scattered clouds
122,Gat,IL,31.61,34.7642,59.4,100,3,5.79,clear sky
123,San Francisco,US,37.7749,-122.4194,54.52,82,75,25.99,broken clouds
124,Piopio,NZ,-38.4667,175.0167,70.09,95,100,7.92,light rain
125,Hilo,US,19.7297,-155.09,78.53,69,75,6.91,light rain
126,Narsaq,GL,60.9167,-46.05,14.22,81,4,6.02,clear sky
127,Khatanga,RU,71.9667,102.5,-34.44,98,94,5.37,overcast clouds
128,Mitsamiouli,KM,-11.3847,43.2844,80.47,82,16,8.99,few clouds
129,Kofele,ET,7.0667,38.7833,47.79,66,26,6.2,scattered clouds
130,Puerto Escondido,MX,15.85,-97.0667,79.63,69,0,2.3,clear sky
131,Izhma,RU,65.0083,53.9113,22.05,91,100,9.82,overcast clouds
132,Cabo San Lucas,MX,22.8909,-109.9124,71.91,68,20,4.61,few clouds
133,Aloja,LV,57.7669,24.8825,32.83,98,100,8.5,overcast clouds
134,Kapaa,US,22.0752,-159.319,77.32,69,20,26.46,few clouds
135,Hun,LY,29.1268,15.9477,46.6,35,0,4.29,clear sky
136,Jiwani,PK,25.05,61.7417,62.91,67,0,12.84,clear sky
137,Tabuk,PH,17.4189,121.4443,66.51,87,100,5.66,overcast clouds
138,Airai,TL,-8.9266,125.4092,72.66,68,71,1.66,broken clouds
139,Winton,US,37.3894,-120.6133,59.02,64,0,3.44,clear sky
140,Eregli,TR,37.5133,34.0467,37.47,80,100,2.53,overcast clouds
